Bundesland;Sortierschlüssel;Name;Gültig ab;Gültig bis;
01;15;Schleswig-Holstein;20042;99999;
02;06;Hamburg;20042;99999;
03;09;Niedersachsen;20042;99999;
04;05;Bremen;20042;99999;
05;10;Nordrhein-Westfalen;20042;99999;
06;07;Hessen;20042;99999;
07;11;Rheinland-Pfalz;20042;99999;
08;01;Baden-Württemberg;20042;99999;
09;02;Bayern;20042;99999;
10;12;Saarland;20042;99999;
11;03;Berlin;20042;99999;
12;04;Brandenburg;20042;99999;
13;08;Mecklenburg-Vorpommern;20042;99999;
14;13;Sachsen;20042;99999;
15;14;Sachsen-Anhalt;20042;99999;
16;16;Thüringen;20042;99999;
98;98;Ohne Angabe;20042;99999;
99;99;Ausland;20042;99999;
